,precision,recall,f1-score,support
non-melanoma,0.9395522388059702,0.9388516032811335,0.9392017903767251,1341.0
melanoma,0.5614973262032086,0.5645161290322581,0.5630026809651475,186.0
accuracy,0.8932547478716437,0.8932547478716437,0.8932547478716437,0.8932547478716437
macro avg,0.7505247825045893,0.7516838661566958,0.7511022356709363,1527.0
weighted avg,0.8935023280370681,0.8932547478716437,0.8933779302912286,1527.0
